t'	a(t')	Trad(t')	Tb(t')	z(t')	i
2.0447231e-006	3.7958785e-004	7.1801561e+003	7.1680834e+003	2.6334363e+003	181
2.0578303e-006	3.8009095e-004	7.1706523e+003	7.1585592e+003	2.6299493e+003	182
2.0709375e-006	3.8059357e-004	7.1611825e+003	7.1490692e+003	2.6264748e+003	183
2.0840447e-006	3.8109571e-004	7.1517467e+003	7.1396131e+003	2.6230127e+003	184
2.0971519e-006	3.8159739e-004	7.1423445e+003	7.1301907e+003	2.6195630e+003	185
2.1102591e-006	3.8209858e-004	7.1329759e+003	7.1208018e+003	2.6161256e+003	186
2.1233663e-006	3.8259931e-004	7.1236406e+003	7.1114462e+003	2.6127005e+003	187
2.1364735e-006	3.8309957e-004	7.1143385e+003	7.1021238e+003	2.6092875e+003	188
2.1495807e-006	3.8359936e-004	7.1050693e+003	7.0928344e+003	2.6058865e+003	189
2.1626879e-006	3.8409868e-004	7.0958328e+003	7.0835776e+003	2.6024976e+003	190
2.1757951e-006	3.8459754e-004	7.0866288e+003	7.0743535e+003	2.5991207e+003	191
2.1889023e-006	3.8509593e-004	7.0774573e+003	7.0651617e+003	2.5957556e+003	192
2.2020095e-006	3.8559386e-004	7.0683179e+003	7.0560021e+003	2.5924023e+003	193
2.2151167e-006	3.8609134e-004	7.0592104e+003	7.0468745e+003	2.5890607e+003	194
2.2282239e-006	3.8658835e-004	7.0501348e+003	7.0377787e+003	2.5857308e+003	195
2.2413311e-006	3.8708491e-004	7.0410908e+003	7.0287146e+003	2.5824125e+003	196
2.2544383e-006	3.8758101e-004	7.0320783e+003	7.0196819e+003	2.5791058e+003	197
2.2675455e-006	3.8807666e-004	7.0230970e+003	7.0106804e+003	2.5758105e+003	198
2.2806527e-006	3.8857185e-004	7.0141468e+003	7.0017101e+003	2.5725266e+003	199
2.2937599e-006	3.8906659e-004	7.0052275e+003	6.9927706e+003	2.5692541e+003	200
2.3068671e-006	3.8956089e-004	6.9963389e+003	6.9838620e+003	2.5659928e+003	201
2.3199743e-006	3.9005473e-004	6.9874809e+003	6.9749838e+003	2.5627428e+003	202
2.3330815e-006	3.9054813e-004	6.9786533e+003	6.9661361e+003	2.5595039e+003	203
2.3461887e-006	3.9104108e-004	6.9698559e+003	6.9573186e+003	2.5562761e+003	204
2.3592959e-006	3.9153359e-004	6.9610885e+003	6.9485311e+003	2.5530593e+003	205
2.3724031e-006	3.9202566e-004	6.9523510e+003	6.9397736e+003	2.5498534e+003	206
2.3855103e-006	3.9251729e-004	6.9436432e+003	6.9310457e+003	2.5466585e+003	207
2.3986175e-006	3.9300847e-004	6.9349650e+003	6.9223474e+003	2.5434744e+003	208
2.4117247e-006	3.9349922e-004	6.9263161e+003	6.9136785e+003	2.5403011e+003	209
2.4248319e-006	3.9398954e-004	6.9176964e+003	6.9050387e+003	2.5371385e+003	210
2.4379391e-006	3.9447941e-004	6.9091058e+003	6.8964281e+003	2.5339865e+003	211
2.4510463e-006	3.9496886e-004	6.9005441e+003	6.8878463e+003	2.5308452e+003	212
2.4641535e-006	3.9545787e-004	6.8920111e+003	6.8792933e+003	2.5277144e+003	213
2.4772607e-006	3.9594645e-004	6.8835066e+003	6.8707689e+003	2.5245941e+003	214
2.4903679e-006	3.9643460e-004	6.8750306e+003	6.8622729e+003	2.5214842e+003	215
2.5034751e-006	3.9692232e-004	6.8665828e+003	6.8538051e+003	2.5183846e+003	216
2.5165823e-006	3.9740962e-004	6.8581632e+003	6.8453655e+003	2.5152954e+003	217
2.5296895e-006	3.9789649e-004	6.8497715e+003	6.8369538e+003	2.5122165e+003	218
2.5427967e-006	3.9838293e-004	6.8414075e+003	6.8285699e+003	2.5091477e+003	219
2.5559039e-006	3.9886896e-004	6.8330713e+003	6.8202137e+003	2.5060891e+003	220
2.5690111e-006	3.9935456e-004	6.8247625e+003	6.8118850e+003	2.5030405e+003	221
2.5821183e-006	3.9983974e-004	6.8164810e+003	6.8035836e+003	2.5000020e+003	222
2.5952255e-006	4.0032450e-004	6.8082268e+003	6.7953095e+003	2.4969735e+003	223
2.6083327e-006	4.0080885e-004	6.7999996e+003	6.7870624e+003	2.4939549e+003	224
2.6214399e-006	4.0129278e-004	6.7917993e+003	6.7788422e+003	2.4909462e+003	225
2.6345471e-006	4.0177629e-004	6.7836258e+003	6.7706487e+003	2.4879473e+003	226
2.6476543e-006	4.0225939e-004	6.7754789e+003	6.7624819e+003	2.4849581e+003	227
2.6607615e-006	4.0274208e-004	6.7673584e+003	6.7543416e+003	2.4819787e+003	228
2.6738687e-006	4.0322436e-004	6.7592643e+003	6.7462276e+003	2.4790089e+003	229
2.6869759e-006	4.0370622e-004	6.7511964e+003	6.7381399e+003	2.4760488e+003	230
2.7000831e-006	4.0418768e-004	6.7431545e+003	6.7300781e+003	2.4730982e+003	231
2.7131903e-006	4.0466873e-004	6.7351386e+003	6.7220424e+003	2.4701571e+003	232
2.7262975e-006	4.0514938e-004	6.7271484e+003	6.7140323e+003	2.4672254e+003	233
2.7394047e-006	4.0562962e-004	6.7191839e+003	6.7060480e+003	2.4643032e+003	234
2.7525119e-006	4.0610946e-004	6.7112448e+003	6.6980891e+003	2.4613903e+003	235
2.7656191e-006	4.0658889e-004	6.7033312e+003	6.6901557e+003	2.4584868e+003	236
2.7787263e-006	4.0706793e-004	6.6954427e+003	6.6822474e+003	2.4555925e+003	237
2.7918335e-006	4.0754656e-004	6.6875794e+003	6.6743643e+003	2.4527074e+003	238
2.8049407e-006	4.0802480e-004	6.6797411e+003	6.6665062e+003	2.4498314e+003	239
2.8180479e-006	4.0850264e-004	6.6719276e+003	6.6586729e+003	2.4469646e+003	240
2.8311551e-006	4.0898008e-004	6.6641388e+003	6.6508644e+003	2.4441069e+003	241
2.8442623e-006	4.0945713e-004	6.6563746e+003	6.6430804e+003	2.4412581e+003	242
2.8573695e-006	4.0993378e-004	6.6486348e+003	6.6353209e+003	2.4384184e+003	243
2.8704767e-006	4.1041004e-004	6.6409194e+003	6.6275858e+003	2.4355876e+003	244
2.8835839e-006	4.1088591e-004	6.6332282e+003	6.6198748e+003	2.4327656e+003	245
2.8966911e-006	4.1136139e-004	6.6255611e+003	6.6121880e+003	2.4299525e+003	246
2.9097983e-006	4.1183648e-004	6.6179179e+003	6.6045251e+003	2.4271482e+003	247
2.9229055e-006	4.1231118e-004	6.6102986e+003	6.5968860e+003	2.4243526e+003	248
2.9360127e-006	4.1278550e-004	6.6027029e+003	6.5892707e+003	2.4215657e+003	249
2.9491199e-006	4.1325943e-004	6.5951309e+003	6.5816790e+003	2.4187875e+003	250
2.9622271e-006	4.1373297e-004	6.5875823e+003	6.5741107e+003	2.4160179e+003	251
2.9753343e-006	4.1420613e-004	6.5800571e+003	6.5665658e+003	2.4132569e+003	252
2.9884415e-006	4.1467891e-004	6.5725551e+003	6.5590442e+003	2.4105043e+003	253
3.0015487e-006	4.1515131e-004	6.5650762e+003	6.5515456e+003	2.4077603e+003	254
3.0146559e-006	4.1562333e-004	6.5576203e+003	6.5440701e+003	2.4050247e+003	255
3.0277631e-006	4.1609497e-004	6.5501873e+003	6.5366175e+003	2.4022975e+003	256
3.0408703e-006	4.1656623e-004	6.5427771e+003	6.5291876e+003	2.3995786e+003	257
3.0539775e-006	4.1703712e-004	6.5353895e+003	6.5217804e+003	2.3968681e+003	258
3.0670847e-006	4.1750763e-004	6.5280245e+003	6.5143957e+003	2.3941658e+003	259
3.0801919e-006	4.1797776e-004	6.5206818e+003	6.5070335e+003	2.3914718e+003	260
3.0932991e-006	4.1844753e-004	6.5133615e+003	6.4996936e+003	2.3887859e+003	261
3.1064063e-006	4.1891691e-004	6.5060634e+003	6.4923758e+003	2.3861082e+003	262
3.1195135e-006	4.1938593e-004	6.4987874e+003	6.4850802e+003	2.3834386e+003	263
3.1326207e-006	4.1985458e-004	6.4915333e+003	6.4778066e+003	2.3807770e+003	264
3.1457279e-006	4.2032286e-004	6.4843011e+003	6.4705549e+003	2.3781235e+003	265
3.1588351e-006	4.2079077e-004	6.4770907e+003	6.4633249e+003	2.3754780e+003	266
3.1719423e-006	4.2125832e-004	6.4699019e+003	6.4561166e+003	2.3728404e+003	267
3.1850495e-006	4.2172550e-004	6.4627347e+003	6.4489298e+003	2.3702107e+003	268
3.1981567e-006	4.2219231e-004	6.4555889e+003	6.4417645e+003	2.3675889e+003	269
3.2112639e-006	4.2265876e-004	6.4484645e+003	6.4346205e+003	2.3649749e+003	270
3.2243711e-006	4.2312485e-004	6.4413613e+003	6.4274978e+003	2.3623687e+003	271
3.2374783e-006	4.2359057e-004	6.4342792e+003	6.4203962e+003	2.3597702e+003	272
3.2505855e-006	4.2405594e-004	6.4272181e+003	6.4133156e+003	2.3571795e+003	273
3.2636927e-006	4.2452094e-004	6.4201780e+003	6.4062559e+003	2.3545964e+003	274
3.2767999e-006	4.2498559e-004	6.4131586e+003	6.3992171e+003	2.3520210e+003	275
3.2899071e-006	4.2544988e-004	6.4061600e+003	6.3921990e+003	2.3494531e+003	276
3.3030143e-006	4.2591381e-004	6.3991820e+003	6.3852016e+003	2.3468929e+003	277
3.3161215e-006	4.2637739e-004	6.3922246e+003	6.3782246e+003	2.3443401e+003	278
3.3292287e-006	4.2684061e-004	6.3852875e+003	6.3712681e+003	2.3417949e+003	279
3.3423359e-006	4.2730348e-004	6.3783708e+003	6.3643319e+003	2.3392571e+003	280
3.3554431e-006	4.2776599e-004	6.3714742e+003	6.3574160e+003	2.3367267e+003	281
3.3685503e-006	4.2822816e-004	6.3645978e+003	6.3505201e+003	2.3342038e+003	282
3.3816575e-006	4.2868997e-004	6.3577415e+003	6.3436443e+003	2.3316881e+003	283
3.3947647e-006	4.2915143e-004	6.3509051e+003	6.3367885e+003	2.3291798e+003	284
3.4078719e-006	4.2961255e-004	6.3440885e+003	6.3299525e+003	2.3266788e+003	285
3.4209791e-006	4.3007331e-004	6.3372916e+003	6.3231362e+003	2.3241850e+003	286
3.4340863e-006	4.3053373e-004	6.3305144e+003	6.3163396e+003	2.3216984e+003	287
3.4471935e-006	4.3099381e-004	6.3237568e+003	6.3095626e+003	2.3192190e+003	288
3.4603007e-006	4.3145354e-004	6.3170186e+003	6.3028050e+003	2.3167467e+003	289
3.4734079e-006	4.3191292e-004	6.3102997e+003	6.2960668e+003	2.3142815e+003	290
3.4865151e-006	4.3237196e-004	6.3036002e+003	6.2893479e+003	2.3118234e+003	291
3.4996223e-006	4.3283066e-004	6.2969199e+003	6.2826482e+003	2.3093724e+003	292
3.5127295e-006	4.3328902e-004	6.2902586e+003	6.2759676e+003	2.3069283e+003	293
