t'	a(t')	Trad(t')	Tb(t')	z(t')	i
6.86470e-007	3.16046e-004	8.62374e+003	8.02787e+003	3.16310e+003	287
6.88900e-007	3.16123e-004	8.62164e+003	8.02397e+003	3.16232e+003	288
6.91330e-007	3.16200e-004	8.61954e+003	8.02008e+003	3.16155e+003	289
6.93760e-007	3.16277e-004	8.61744e+003	8.01619e+003	3.16078e+003	290
6.96190e-007	3.16354e-004	8.61534e+003	8.01230e+003	3.16001e+003	291
6.98620e-007	3.16432e-004	8.61324e+003	8.00842e+003	3.15924e+003	292
7.01050e-007	3.16509e-004	8.61114e+003	8.00454e+003	3.15847e+003	293
7.03480e-007	3.16586e-004	8.60904e+003	8.00066e+003	3.15770e+003	294
7.05910e-007	3.16663e-004	8.60695e+003	7.99679e+003	3.15693e+003	295
7.08340e-007	3.16740e-004	8.60485e+003	7.99291e+003	3.15617e+003	296
7.10770e-007	3.16817e-004	8.60276e+003	7.98905e+003	3.15540e+003	297
7.13200e-007	3.16894e-004	8.60067e+003	7.98518e+003	3.15463e+003	298
7.15630e-007	3.16971e-004	8.59858e+003	7.98132e+003	3.15386e+003	299
7.18060e-007	3.17048e-004	8.59649e+003	7.97746e+003	3.15310e+003	300
7.20490e-007	3.17125e-004	8.59440e+003	7.97360e+003	3.15233e+003	301
7.22920e-007	3.17202e-004	8.59232e+003	7.96975e+003	3.15157e+003	302
7.25350e-007	3.17279e-004	8.59023e+003	7.96590e+003	3.15080e+003	303
7.27780e-007	3.17356e-004	8.58815e+003	7.96206e+003	3.15004e+003	304
7.30210e-007	3.17433e-004	8.58607e+003	7.95821e+003	3.14927e+003	305
7.32640e-007	3.17510e-004	8.58399e+003	7.95437e+003	3.14851e+003	306
7.35070e-007	3.17587e-004	8.58191e+003	7.95054e+003	3.14775e+003	307
7.37500e-007	3.17664e-004	8.57983e+003	7.94670e+003	3.14698e+003	308
7.39930e-007	3.17741e-004	8.57775e+003	7.94287e+003	3.14622e+003	309
7.42360e-007	3.17818e-004	8.57568e+003	7.93904e+003	3.14546e+003	310
7.44790e-007	3.17894e-004	8.57360e+003	7.93522e+003	3.14470e+003	311
7.47220e-007	3.17971e-004	8.57153e+003	7.93140e+003	3.14394e+003	312
7.49650e-007	3.18048e-004	8.56945e+003	7.92758e+003	3.14318e+003	313
7.52080e-007	3.18125e-004	8.56738e+003	7.92377e+003	3.14242e+003	314
